issue_id,issue_key,resolution,issue_status,issue_type,created_date,resolution_date,description,organisation,load_date
"13961","SD-3943","Done","Closed","Service Request","2023-09-08T17:41:50.766+1200","2023-09-08T17:55:17.679+1200","Incident INC0244549 assigned to your squad: disable secret server user  Srini Parthasarathi","The Warehouse Group","2023-10-01"
"13960","SD-3942","Done","Closed","Service Request","2023-09-08T17:35:17.382+1200","2023-09-08T17:39:57.733+1200","Incident INC0244548 assigned to your squad: disable secret server user","The Warehouse Group","2023-10-01"
"13959","SD-3941","Done","Closed","Service Request","2023-09-08T17:27:12.167+1200","2023-09-08T17:31:40.537+1200","Incident INC0244547 assigned to your squad: disable secret server user","The Warehouse Group","2023-10-01"
"13958","SD-3940","Done","Closed","Service Request","2023-09-08T17:12:50.951+1200","2023-09-08T17:20:50.362+1200","Incident INC0244545 assigned to your squad: disable secret server user","The Warehouse Group","2023-10-01"
"13957","SD-3939","Duplicate","Closed","Service Request","2023-09-08T16:57:16.085+1200","2023-09-11T13:00:13.487+1200","[Sealink] Turn off SVR-TIM-01","Sealink","2023-10-01"
"13956","SD-3938","Done","Resolved","Service Request","2023-09-08T16:21:42.689+1200","2023-09-11T13:16:19.433+1200","Turn off SVR-TIM-01","Sealink","2023-10-01"
"13955","SD-3937","Done","Closed","Service Request","2023-09-08T15:57:37.530+1200","2023-09-08T16:49:26.320+1200","Power BI Licenses","NZHL","2023-10-01"
"13954","SD-3936","Done","Resolved","Service Request","2023-09-08T14:13:09.737+1200","2023-09-27T13:36:22.405+1300","Sealink - Migrate VMs to availability zone - azure advisor recommendaiton","Sealink","2023-10-01"
"13953","SD-3935","Won't Do","Closed","Change","2023-09-08T12:42:27.014+1200","2023-09-11T14:25:59.937+1200","[Sealink] SQL server 2019 patching","Sealink","2023-10-01"
"13952","SD-3934","Done","Resolved","Change","2023-09-08T12:38:53.327+1200","2023-09-18T17:38:09.626+1200","[ICG] SQL server 2019 patching","Soar Communications","2023-10-01"
"13951","SD-3933","Done","Closed","Change","2023-09-08T11:40:32.778+1200","2023-09-12T18:39:15.171+1200","[NZHL] SQL server 2019 patching","NZHL","2023-10-01"
"13950","SD-3932","Won't Do","Closed","Service Request","2023-09-08T10:52:36.452+1200","2023-09-11T14:28:20.668+1200","[Sealink] SQL database patching","Sealink","2023-10-01"
"13949","SD-3931","Done","Closed","Service Request","2023-09-08T10:49:00.449+1200","2023-09-18T17:40:37.716+1200","[ICG] SQL database patching","Soar Communications","2023-10-01"
"13948","SD-3930","Done","Closed","Service Request","2023-09-08T10:36:04.351+1200","2023-09-12T18:39:02.276+1200","[NZHL] SQL database patching","NZHL","2023-10-01"
"13947","SD-3929","Done","Closed","Service Request","2023-09-08T10:10:52.402+1200","2023-09-22T15:38:25.674+1200","TWG Secret Server Audit logs","The Warehouse Group","2023-10-01"
"13946","SD-3928","Done","Closed","Service Request","2023-09-08T09:59:03.484+1200","2023-09-18T10:46:25.324+1200","[Kordia Corp] Low disk space on WINDBP39 drive J, database BIP","Kordia","2023-10-01"
"13945","SD-3927","Won't Do","Closed","Service Request","2023-09-08T09:01:06.296+1200","2023-09-08T09:47:46.217+1200","Incident INC0244308 assigned to your squad: Password reset request: Other","The Warehouse Group","2023-10-01"
"13944","SD-3926","Done","Closed","Service Request","2023-09-08T08:48:21.543+1200","2023-09-08T08:51:34.305+1200","Incident INC0244308 assigned to your squad: Password reset request: Other","","2023-10-01"
"13943","SD-3925","Done","Closed","Service Request","2023-09-08T08:36:31.265+1200","2023-09-08T08:47:29.199+1200","Incident INC0244308 assigned to your squad: Password reset request: Other","","2023-10-01"
"13942","SD-3924","Done","Closed","Service Request","2023-09-08T08:06:48.462+1200","2023-09-08T08:54:31.393+1200","Kordia Cyber Customer Advisory","Kordia","2023-10-01"
"13941","SD-3923","Done","Closed","Service Request","2023-09-07T16:03:20.177+1200","2023-09-08T12:39:42.389+1200","Tasks assigned to your group Secret Server Support  need reassigning (was Jack Lau)","The Warehouse Group","2023-10-01"
"13940","SD-3922","","Waiting for support","Change","2023-09-07T14:14:40.868+1200","","Sealink - change azure policy requiring rg tags to audit instead of enforce","Sealink","2023-10-01"
"13939","SD-3921","Done","Closed","Change","2023-09-07T13:01:38.384+1200","2023-09-11T19:33:41.681+1200","[Electra] SQL server 2019 patching","Electra","2023-10-01"
"13938","SD-3920","Done","Resolved","Problem","2023-09-07T10:58:36.166+1200","2023-09-07T11:04:14.044+1200","TWG - AD user account import errors","The Warehouse Group","2023-10-01"
"13937","SD-3919","Done","Closed","Service Request","2023-09-07T09:42:59.228+1200","2023-09-07T12:55:42.191+1200","Incident INC0244114 assigned to your squad: OKTA connected to the wrong store.","The Warehouse Group","2023-10-01"
"13936","SD-3918","Duplicate","Closed","Service Request","2023-09-07T09:42:56.059+1200","2023-09-07T09:54:59.291+1200","Incident INC0244114  has a new comment","The Warehouse Group","2023-10-01"
"13935","SD-3917","Done","Closed","Incident","2023-09-07T09:23:32.735+1200","2023-09-15T09:28:09.689+1200","Brute-force attack?","Sealink","2023-10-01"
"13934","SD-3916","Done","Resolved","Change","2023-09-07T09:05:42.843+1200","2023-09-07T14:12:03.848+1200","Sealink - restore srv-sea-inthub-00 from backup on 2023-09-06","Sealink","2023-10-01"
"13933","SD-3915","Done","Closed","Incident","2023-09-07T08:05:38.598+1200","2023-09-07T14:12:50.899+1200"," Sealink - Host Not Reporting for at least 5 minutes on 'srv-sea-inthub-00'","Sealink","2023-10-01"
"13932","SD-3914","Done","Closed","Service Request","2023-09-06T15:58:13.951+1200","2023-09-07T12:27:06.449+1200","Incident INC0244185 assigned to your squad: D365AdminT7@twgroup.co.nz - Microsoft Authenticator is now requesting codes for sign in","The Warehouse Group","2023-10-01"
"13931","SD-3913","Done","Closed","Service Request","2023-09-06T15:09:21.343+1200","2023-09-11T19:35:40.890+1200","[ELectra] SQL database patching ","Electra","2023-10-01"
"13930","SD-3912","Done","Closed","Service Request","2023-09-06T13:19:02.881+1200","2023-09-25T12:37:00.743+1300","SiteCore WAF false positives","Southern Cross","2023-10-01"
"13929","SD-3911","Done","Closed","Service Request","2023-09-06T13:02:23.791+1200","2023-09-06T14:14:18.265+1200","Incident INC0244125 assigned to your squad: okta verify reset","The Warehouse Group","2023-10-01"
"13928","SD-3910","Done","Closed","Service Request","2023-09-06T12:24:28.309+1200","2023-09-13T11:17:48.726+1200","Incident INC0244042 assigned to your squad: Okta verify issues unresolved yesterday.","The Warehouse Group","2023-10-01"
"13927","SD-3909","Done","Resolved","Change","2023-09-06T10:25:20.541+1200","2023-09-11T10:30:16.056+1200","LIC Firmware update installation on LICNEWNUT07 node","LIC","2023-10-01"
"13926","SD-3908","Done","Closed","Service Request","2023-09-06T10:19:54.802+1200","2023-09-07T15:34:20.881+1200","FW: Monthly Test Restore of metPvcare - September - Tracker#1065597","Metlifecare","2023-10-01"
"13925","SD-3907","Done","Resolved","Change","2023-09-06T09:24:16.264+1200","2023-09-12T23:06:47.909+1200","NZGT: Migrate Auckland Office Wired Switchports to SecureW2","NZGT","2023-10-01"
"13924","SD-3906","Done","Closed","Service Request","2023-09-06T09:11:11.754+1200","2023-09-07T14:11:35.533+1200","Move users to Z-Tunnel 1.0 - Generate","Generate Investment Holdings","2023-10-01"
"13923","SD-3905","Declined","Closed","Service Request","2023-09-06T08:06:58.635+1200","2023-09-08T16:38:48.548+1200","Incident INC0242498 assigned to your squad: I need access to joyus and milestones.","The Warehouse Group","2023-10-01"
"13922","SD-3904","","In Progress","Service Request","2023-09-05T18:21:21.927+1200","","Identity Front Door WAF","Southern Cross","2023-10-01"
"13921","SD-3903","Duplicate","Closed","Service Request","2023-09-05T16:07:35.968+1200","2023-09-06T07:39:02.694+1200","Incident INC0240827  has a new comment","The Warehouse Group","2023-10-01"
"13920","SD-3902","Duplicate","Closed","Service Request","2023-09-05T15:21:37.689+1200","2023-09-05T15:35:59.110+1200","Incident INC0241630  has a new comment","The Warehouse Group","2023-10-01"
"13919","SD-3901","Duplicate","Closed","Service Request","2023-09-05T15:02:58.213+1200","2023-09-05T15:06:36.816+1200","Incident INC0240827  has a new comment","The Warehouse Group","2023-10-01"
"13918","SD-3900","","Waiting for support","Service Request","2023-09-05T15:01:33.805+1200","","Kiwirail - Process patch update for Azure HCI ","KiwiRail","2023-10-01"
"13917","SD-3899","Duplicate","Closed","Service Request","2023-09-05T15:01:10.056+1200","2023-09-05T15:01:52.746+1200","Incident INC0240827  has a new comment","The Warehouse Group","2023-10-01"
"13916","SD-3898","Done","Closed","Service Request","2023-09-05T14:30:48.240+1200","2023-09-06T13:47:58.767+1200","Kiwirail - Check when is the last time Azure HCI Update","KiwiRail","2023-10-01"
"13915","SD-3897","Duplicate","Closed","Service Request","2023-09-05T14:09:52.012+1200","2023-09-05T14:13:46.405+1200","Additonal comments has been added for Task SCTASK0072306 - Secret Server","The Warehouse Group","2023-10-01"
"13914","SD-3896","","Pending","Service Request","2023-09-05T14:07:02.637+1200","","Kiwirail - Setup email alert for IPMI on Azure HCI cluster ","KiwiRail","2023-10-01"
"13913","SD-3895","","In Progress","Service Request","2023-09-05T14:05:02.540+1200","","KiwiRail - NewRelic alert RAM and CPU on HCI","KiwiRail","2023-10-01"
"13912","SD-3894","Done","Closed","Service Request","2023-09-05T12:58:31.384+1200","2023-09-11T12:53:00.579+1200","Metlifecare - Chedk disk drive for server EC2AMAZ-9JUFCRQ","Metlifecare","2023-10-01"
"13911","SD-3893","Done","Closed","Service Request","2023-09-05T12:40:18.576+1200","2023-09-12T09:15:15.683+1200","Metlifecare - VBA test restore ","Metlifecare","2023-10-01"
"13910","SD-3892","","Pending","Service Request","2023-09-05T10:17:43.896+1200","","NZGT: required to auth when working from home","NZGT","2023-10-01"
"13909","SD-3891","Done","Closed","Service Request","2023-09-05T09:04:57.091+1200","2023-09-05T13:14:37.638+1200","Labelling external emails","EMA","2023-10-01"
"13908","SD-3890","Done","Closed","Incident","2023-09-05T08:31:31.342+1200","2023-09-08T07:22:21.616+1200","Metlifecare - VBR on AZure backup copy error","Metlifecare","2023-10-01"
"13907","SD-3889","Done","Closed","Incident","2023-09-04T17:11:59.459+1200","2023-09-20T14:51:42.371+1200","Zscaler (Client connector)- Generate users having issues connecting Teams and outlook all other apps can connect to internet","Generate Investment Holdings","2023-10-01"
"13906","SD-3888","Done","Resolved","Service Request","2023-09-04T16:44:23.099+1200","2023-09-28T08:35:06.100+1300","Kordia Cyber Defence Operations Customer Advisory - Microsoft Disabling TLS 1.0 and TLS 1.1 ","Kordia","2023-10-01"
"13905","SD-3887","Done","Closed","Service Request","2023-09-04T14:37:38.910+1200","2023-09-04T15:20:45.120+1200","RE: [EXTERNAL] RE: P3 | NZHL-54 | Monitoring - Agent on nzhbkupssaue01 disconnected to Sentinel for more than 4 hours","NZHL","2023-10-01"
"13904","SD-3886","Duplicate","Closed","Service Request","2023-09-04T14:35:19.410+1200","2023-09-04T15:45:12.324+1200","Incident INC0242896 assigned to your squad: this employee doesn’t have the TWG People tile assigned.","The Warehouse Group","2023-10-01"
"13903","SD-3885","Done","Closed","Service Request","2023-09-04T13:51:02.466+1200","2023-09-07T12:53:58.568+1200","NZGT - Create backup for AVD gold image ","NZGT","2023-10-01"
"13902","SD-3884","Done","Closed","Service Request","2023-09-04T12:47:06.170+1200","2023-09-04T12:48:43.476+1200","Incident INC0242651  has a new comment","The Warehouse Group","2023-10-01"
"13901","SD-3883","","In Progress","Service Request","2023-09-04T12:18:04.285+1200","","Onboard additional domains to CloudProtect - TWG","The Warehouse Group","2023-10-01"
"12699","SD-2681","Done","Closed","Change","2023-05-02T13:53:44.315+1200","2023-05-03T09:00:01.791+1200","[NZGT] Create new Subnet and NSG for Cloud PC (Win365)","NZGT","2023-10-01"
"12698","SD-2680","Done","Closed","Service Request","2023-05-02T12:44:19.523+1200","2023-05-08T15:01:27.883+1200","FW: Outlook issues","NZGT","2023-10-01"
"12697","SD-2679","Duplicate","Closed","Service Request","2023-05-02T10:36:41.706+1200","2023-05-02T10:46:43.561+1200","Incident INC0224668  has a new comment","The Warehouse Group","2023-10-01"
"12696","SD-2678","Done","Closed","Service Request","2023-05-02T09:56:34.793+1200","2023-07-21T15:08:45.045+1200","RE: NZGT: NZ-Nessus01 Patching","NZGT","2023-10-01"
"12695","SD-2677","Done","Closed","Service Request","2023-05-02T09:49:53.555+1200","2023-05-02T10:48:45.129+1200","Incident INC0224140 assigned to your squad: Poor wifi at 3t","The Warehouse Group","2023-10-01"
"12694","SD-2676","Done","Closed","Service Request","2023-05-02T09:46:25.208+1200","2023-05-05T09:02:48.263+1200","[Kordia Corp] DR test","Kordia","2023-10-01"
"12693","SD-2675","Done","Closed","Incident","2023-05-02T09:09:01.265+1200","2023-05-02T09:10:13.080+1200","HTTP errors for thewarehouse.co.nz noelleeming.co.nz and warehousestationary.co.nz","The Warehouse Group","2023-10-01"
"12692","SD-2674","Done","Closed","Service Request","2023-05-02T08:29:13.847+1200","2023-05-03T08:30:06.300+1200","Incident INC0224581 assigned to your squad: Password reset request: Windows/Okta","The Warehouse Group","2023-10-01"
"12691","SD-2673","Done","Closed","Service Request","2023-05-02T08:29:11.461+1200","2023-05-03T08:31:18.536+1200","Incident INC0224579 assigned to your squad: Password reset request: Windows/Okta","The Warehouse Group","2023-10-01"
"12690","SD-2672","Done","Closed","Service Request","2023-05-02T08:29:09.133+1200","2023-05-03T08:31:45.142+1200","Incident INC0224595 assigned to your squad: Password reset request: Windows/Okta","The Warehouse Group","2023-10-01"
"12689","SD-2671","Declined","Closed","Service Request","2023-05-02T08:29:06.469+1200","2023-05-04T13:35:01.857+1200","Incident INC0224578 assigned to your squad: Password reset request: Windows/Okta","The Warehouse Group","2023-10-01"
"13870","SD-3852","Done","Closed","Incident","2023-08-31T08:39:38.052+1200","2023-08-31T17:15:28.922+1200","Host Not Reporting for at least 10 minutes on 'ictharstern01' customer ICG","Soar Communications","2023-10-01"
"13869","SD-3851","Done","Closed","Incident","2023-08-31T07:59:26.644+1200","2023-08-31T17:15:10.889+1200","Host Not Reporting for at least 5 minutes on 'nzhdnlinuxpdaue01'","NZHL","2023-10-01"
"13868","SD-3850","Done","Closed","Incident","2023-08-31T07:57:17.284+1200","2023-09-04T08:37:26.994+1200","RE: P3 | NZHL-54 | Monitoring - Agent on nzhbkupssaue01 disconnected to Sentinel for more than 4 hours","NZHL","2023-10-01"
"13867","SD-3849","Duplicate","Closed","Service Request","2023-08-31T02:44:54.142+1200","2023-08-31T09:27:50.757+1200","P3 | NZHL-54 | Monitoring - Agent on nzhbkupssaue01 disconnected to Sentinel for more than 4 hours","NZHL","2023-10-01"
"13866","SD-3848","Done","Closed","Incident","2023-08-31T02:44:40.807+1200","2023-09-04T08:37:11.247+1200","P3 | NZHL-53 | Monitoring - Fortinet has stop sending log for more than 4 hours","NZHL","2023-10-01"
"13865","SD-3847","","Open","Service Request","2023-08-30T16:20:28.148+1200","","Gordon's time for EMA support","EMA","2023-10-01"
"13864","SD-3846","Done","Closed","Service Request","2023-08-30T15:55:11.110+1200","2023-09-08T09:09:29.383+1200","[NZGT]: Wiz finding Weak SSH auth","NZGT","2023-10-01"
"13863","SD-3845","Done","Closed","Service Request","2023-08-30T15:40:24.091+1200","2023-09-08T10:03:04.062+1200","[NZGT]: Wiz finding re inactive admin principals 30/08","NZGT","2023-10-01"
"13862","SD-3844","Done","Closed","Service Request","2023-08-30T15:27:32.294+1200","2023-09-13T07:50:19.891+1200","FW: Access request to NZHL Terraform repositories | Aura - NZHL","NZHL","2023-10-01"
"13861","SD-3843","Declined","Closed","Service Request","2023-08-30T15:00:55.984+1200","2023-09-13T11:30:35.242+1200","Incident INC0243085 assigned to your squad: Please give OKTA Admin access to Harsimran Bindra and Sagar Sharma","The Warehouse Group","2023-10-01"
"13860","SD-3842","Done","Closed","Service Request","2023-08-30T14:08:18.358+1200","2023-09-13T15:01:02.063+1200","EMA - IaC environment build","EMA","2023-10-01"
"13859","SD-3841","Duplicate","Closed","Service Request","2023-08-30T12:30:51.849+1200","2023-08-30T15:24:00.000+1200","Incident INC0242898  has a new comment","The Warehouse Group","2023-10-01"
"13858","SD-3840","Done","Closed","Service Request","2023-08-30T11:53:44.087+1200","2023-09-08T10:02:31.814+1200","[NZGT]: Tenable Vulnerabilities 30/08/2023","NZGT","2023-10-01"
"13857","SD-3839","Done","Resolved","Change","2023-08-30T11:50:09.903+1200","2023-09-01T11:31:19.229+1200","NZGT - Azure File Level Restore - Aug 2023","NZGT","2023-10-01"
"13856","SD-3838","Done","Closed","Change","2023-08-30T11:32:25.035+1200","2023-08-31T21:19:56.491+1200","SCHS: Enable Cloudflare Content Upload Scanning feature ","Southern Cross","2023-10-01"
"13855","SD-3837","Declined","Closed","Service Request","2023-08-30T11:10:19.360+1200","2023-08-30T11:11:22.746+1200","Incident INC0242898  has a new comment","The Warehouse Group","2023-10-01"
"13854","SD-3836","Done","Closed","Service Request","2023-08-30T10:30:33.331+1200","2023-09-07T12:53:38.562+1200","NZGT: Decommissioning of AVD can proceed","NZGT","2023-10-01"
"13853","SD-3835","Done","Closed","Service Request","2023-08-30T09:37:46.777+1200","2023-09-12T17:10:50.028+1200","Incident INC0242898 assigned to your squad: employee doesn’t have the TWG People tile assigned","The Warehouse Group","2023-10-01"
"13852","SD-3834","Duplicate","Closed","Service Request","2023-08-30T09:37:43.983+1200","2023-09-13T10:43:11.914+1200","Incident INC0242896 assigned to your squad: this employee doesn’t have the TWG People tile assigned.","The Warehouse Group","2023-10-01"
"13851","SD-3833","Done","Closed","Service Request","2023-08-30T09:37:41.114+1200","2023-09-12T09:14:25.631+1200","Incident INC0242900 assigned to your squad: employee doesn’t have the TWG People tile assigned","The Warehouse Group","2023-10-01"
"13850","SD-3832","Done","Closed","Service Request","2023-08-30T09:29:32.074+1200","2023-08-31T08:21:30.263+1200","intermittent outage affecting backup Wed 11pam-6am","Metlifecare","2023-10-01"
"13849","SD-3831","Duplicate","Closed","Service Request","2023-08-30T08:07:51.966+1200","2023-08-30T10:24:36.020+1200","New Ticket #3884468 - Urgent - please copy source files from licazebatchp01 to licazsbatchd01","LIC","2023-10-01"
"13848","SD-3830","Done","Closed","Incident","2023-08-30T08:02:43.822+1200","2023-09-05T08:25:27.598+1200","Metlifecare - V365 sharepoint backup was frozen ","Metlifecare","2023-10-01"
"13847","SD-3829","Done","Closed","Service Request","2023-08-29T17:03:27.955+1200","2023-08-30T20:12:40.141+1200","New Ticket #3884458 - Urgent - Copy AE load files from hardhead server to licazsbatchd01","LIC","2023-10-01"
"13846","SD-3828","Done","Closed","Service Request","2023-08-29T15:27:53.896+1200","2023-09-06T15:02:58.309+1200","Access to emaplatforms-test","EMA","2023-10-01"
"13845","SD-3827","","In Progress","Service Request","2023-08-29T15:17:40.444+1200","","EMA B2C - Create secret Azure Keyvault ","EMA","2023-10-01"
"13844","SD-3826","Done","Closed","Incident","2023-08-29T14:59:35.713+1200","2023-08-30T11:24:33.516+1200","HTTP timeout alert on www.southerncrosslife.co.nz","Southern Cross","2023-10-01"
"13843","SD-3825","","Pending","Service Request","2023-08-29T14:25:39.174+1200","","NZ Home Loans - Restrict application consent for offline access","NZHL","2023-10-01"
"13842","SD-3824","Done","Resolved","Change","2023-08-29T13:46:26.487+1200","2023-09-05T08:23:05.829+1200","NZGT - Test restore M365 - Windows File Level  - Linux File Level","NZGT","2023-10-01"
"13841","SD-3823","Done","Closed","Change","2023-08-29T12:23:07.335+1200","2023-09-04T10:33:59.385+1200","[NZGT] Veeam restore test","NZGT","2023-10-01"
"13840","SD-3822","","Pending","Service Request","2023-08-29T11:29:38.657+1200","","Incident INC0241630 assigned to your squad: Azure Portal App Icon Deleted from OKTA","The Warehouse Group","2023-10-01"
